"","G","color_index","d_g","b_g","e_g","Dose","mu","y"
"1",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0,1.04774756257736,1.11654346506264
"2",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.01,1.04764229652014,1.01828202225999
"3",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.02,1.0471146714389,0.802834175666496
"4",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.03,1.04594172034312,0.819444140966615
"5",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.04,1.04395201234483,1.1912758287288
"6",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.05,1.04100364947061,1.00956690903403
"7",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.06,1.03697792058805,0.86777726360693
"8",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.07,1.03177704425726,1.01419060994877
"9",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.08,1.02532348686856,1.15774671579626
"10",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.09,1.01755991328246,1.22989262098402
"11",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.1,1.00844931131158,0.965959764322057
"12",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.11,0.997975029396053,0.972627640815866
"13",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.12,0.986140568400717,0.82673367049361
"14",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.13,0.972969032516614,1.01878089487761
"15",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.14,0.958502191834759,0.899080308694384
"16",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.15,0.942799148032845,0.986731809615387
"17",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.16,0.925934627248852,0.993552961877979
"18",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.17,0.907996950911198,1.00702062361828
"19",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.18,0.889085755593903,0.836562351586736
"20",1,4,1.04774756257736,2.58864381872124,0.350274840780077,0.19,0.869309546362432,0.91433295091462
